X,Y,index,h3_resolution,post_offices_count,postal_bank_count,road_length_km,cell_towers_count,population_count
-54.7236395859577,-15.9770272952007,848bb49ffffffff,4,0,2,2377.1447809557,127,15240.2113174647
-61.083130489631,-1.2116603225874,848af3bffffffff,4,0,0,0,,3.45010407228983
-47.2467987130825,-19.1388677317196,84a8f0dffffffff,4,0,0,3567.47232844344,58,7929.20608682185
-59.6049152105513,-16.0828414385486,848b169ffffffff,4,0,0,726.876414779258,,824.036608931317
-52.6819110103713,-6.65519423816228,84814dbffffffff,4,0,0,1458.92586654983,1,1783.22991429456
-53.8036731719933,-25.4095471126148,84a9537ffffffff,4,0,1,2208.21906400635,89,17944.2612447562
-52.9232529164902,-21.5607602328845,84a8099ffffffff,4,0,0,1018.2737850867,,1206.6298809424
-43.0031514924205,-9.39474359043127,84810a7ffffffff,4,0,5,4197.17086472493,73,36314.4722971022
-47.2187375054167,-1.8912954704513,8480739ffffffff,4,0,2,3079.96743620178,168,61658.9092165455
-71.9302811711903,-6.14913831144768,848f6d3ffffffff,4,0,0,0,,40.5003409100482
-55.9149708582808,-13.8949643212977,848bb1bffffffff,4,0,1,3313.7707803539,231,62574.6618657969
-61.9747180796833,-9.43603930116247,848a311ffffffff,4,0,1,4917.59701406727,78,26668.9592017601
-47.0296055953464,-5.7626248889921,84815e7ffffffff,4,0,2,1536.11259844479,33,20279.8396627912
-60.4250286884911,-13.2723879505697,848bad9ffffffff,4,1,1,3661.8327040701,38,15278.4416250922
-59.1553255326575,-12.0419592232716,848ba87ffffffff,4,0,0,0,,2.58302662364167
-54.2511353844489,-29.0244279544339,84a9729ffffffff,4,0,0,1348.71861741787,,1885.69284344092
-60.9352360259121,-0.817660939839483,848af33ffffffff,4,0,0,0,,38.8754638961982
-65.9813320132247,-3.32219826167833,848a50dffffffff,4,0,1,330.141132857912,11,10463.2299691304
-53.8151352405886,-10.6376243401132,848b93bffffffff,4,0,0,2095.06858496309,,237.734115361003
-42.619070434076,-5.02495417574759,8480055ffffffff,4,7,2,12800.2523825531,11154,987922.473937869
-40.8446097747738,-12.5176377448865,848102dffffffff,4,0,2,893.750482940089,23,11694.814888671
-54.6089351636065,-16.6974500889438,84a85a1ffffffff,4,3,2,3607.22432072403,884,68507.4785498958
-43.9703974436814,-13.0336290992344,84812adffffffff,4,0,1,2315.42566367288,58,29552.4274676144
-54.222822729658,-2.29815907575993,848a9e9ffffffff,4,0,0,655.346837197104,24,6874.70215217117
-44.3629924276611,-10.7832812604281,8481089ffffffff,4,0,0,1107.35509405673,,6301.03946260735
-50.6228915713103,-26.8381352453427,84a820dffffffff,4,0,1,2474.61003479444,79,14837.080452621
-56.7632171211805,-20.8201517333514,84a8441ffffffff,4,0,0,896.804678689731,5,1427.86797274876
-43.5279481625872,-6.35578571838326,848023bffffffff,4,0,2,3004.13512637852,47,31748.3367636241
-39.1802447665354,-10.2927978926695,8481ad9ffffffff,4,0,1,2713.93946774339,51,25075.7212287113
-42.2778488510178,-17.309635514828,84a8991ffffffff,4,0,0,1848.9705114654,17,25182.2031823397
